id,name,category,type,calories,protein,fat,saturated_fat,carbs,sugar,fiber,sodium,vitamin_a,vitamin_c,calcium,iron,image_url,description
18,Tingmo,Bread,Traditional,240,7.2,2.5,0.5,48.5,2.1,2.2,380,0,0,25,1.8,tingmo.jpg,Tibetan steamed bread
19,Laphing,Snack,Traditional,120,2.5,3.2,0.5,22.3,2.8,1.2,720,45,8.5,15,0.8,laphing.jpg,Cold mung bean noodle dish
20,Samay Baji,Main Course,Traditional,450,22.3,18.5,4.5,52.6,5.2,6.8,820,220,15.3,85,4.2,samay-baji.jpg,Traditional Newari feast platter
21,Kachila,Appetizer,Traditional,240,32.5,11.2,3.8,2.5,0.8,0.5,580,120,5.2,25,3.8,kachila.jpg,Raw minced buffalo meat with spices
22,Bhakka,Snack,Traditional,380,22.5,15.2,4.2,38.5,3.2,4.5,520,85,3.5,120,3.2,bhakka.jpg,Steamed rice flour cake with meat
23,Pani Puri,Snack,Street,120,2.5,4.2,0.8,18.5,3.2,1.5,480,20,8.5,15,0.8,panipuri.jpg,Crispy hollow puri with flavored water
24,Sekuwa,Appetizer,Traditional,320,38.5,16.8,4.5,2.8,1.2,0.8,720,95,4.5,20,4.2,sekuwa.jpg,Grilled meat skewers
25,Bhuttan,Snack,Traditional,180,5.2,8.5,1.5,22.3,2.8,3.2,420,65,3.2,35,1.5,bhuttan.jpg,Fried intestines
26,Aloo Achar,Side Dish,Traditional,95,1.8,5.2,0.8,11.5,3.5,2.2,580,120,25.3,20,1.2,aloo-achar.jpg,Spicy potato pickle
27,Masaura,Side Dish,Traditional,220,12.5,8.2,1.5,28.6,3.2,5.8,480,180,8.5,85,3.5,masaura.jpg,Sun-dried lentil balls curry
28,Pharsi ko Munta,Side Dish,Traditional,120,2.5,4.8,0.8,18.5,8.5,3.2,320,850,18.5,45,1.8,pharsi-ko-munta.jpg,Pumpkin vine shoots curry
29,Titaura,Snack,Traditional,60,0.5,0.2,0,14.8,12.5,1.2,1820,120,45.2,15,0.5,titaura.jpg,Sweet and sour dried fruit candy
30,Pustakari,Dessert,Traditional,320,6.8,12.5,3.5,48.5,22.3,2.5,280,95,3.5,65,1.8,pustakari.jpg,Traditional layered sweet
31,Pizza,Fast Food,Modern,285,12.3,11.5,4.8,35.2,4.2,2.5,720,180,8.5,220,2.5,pizza.jpg,Italian flatbread with toppings
32,Burger,Fast Food,Modern,520,28.5,28.2,10.5,42.3,8.5,3.2,980,120,5.2,120,4.5,burger.jpg,Sandwich with meat patty
33,Pasta,Main Course,Modern,380,14.5,12.8,3.5,52.3,5.2,3.8,620,220,12.5,85,2.8,pasta.jpg,Italian noodle dish with sauce
34,French Fries,Side Dish,Modern,320,3.5,16.8,2.5,42.5,0.8,3.8,280,0,12.5,15,1.2,french-fries.jpg,Deep fried potato strips
35,Fried Chicken,Main Course,Modern,420,32.5,25.8,6.8,18.5,0.5,1.2,880,85,0,25,2.5,fried-chicken.jpg,Breaded and deep fried chicken
36,Sandwich,Snack,Modern,280,12.5,10.2,3.2,35.8,4.5,3.5,620,120,8.5,85,2.2,sandwich.jpg,Bread with various fillings
37,Hot Dog,Fast Food,Modern,380,14.2,22.5,8.5,32.5,6.8,2.2,920,0,2.5,35,2.8,hot-dog.jpg,Sausage in a bun
38,Sushi,Main Course,Modern,220,8.5,4.2,0.8,38.5,2.5,1.8,680,180,3.5,25,1.5,sushi.jpg,Japanese rice and seafood dish
39,Tacos,Fast Food,Modern,320,18.5,15.8,5.2,28.5,3.2,4.5,720,220,12.5,120,3.2,tacos.jpg,Mexican filled tortilla
40,Burrito,Fast Food,Modern,480,22.5,18.2,6.5,58.5,4.8,8.5,980,320,15.5,180,4.5,burrito.jpg,Wrapped Mexican dish
41,Noodles,Main Course,Modern,380,10.5,14.2,2.8,52.3,3.5,2.5,820,65,5.2,35,2.2,noodles.jpg,Asian style pasta dish
42,Chow Mein,Main Course,Modern,420,12.8,18.5,3.5,48.5,5.2,3.2,920,120,8.5,45,2.8,chowmein.jpg,Stir-fried noodles
43,Spring Roll,Snack,Modern,180,5.2,8.5,1.5,22.3,2.5,1.8,520,85,3.5,25,1.5,spring-roll.jpg,Deep fried wrapped appetizer
44,Donut,Dessert,Modern,380,5.2,20.5,8.5,48.5,22.5,1.5,420,0,0,25,1.8,donut.jpg,Sweet fried dough pastry
45,Pancake,Breakfast,Modern,320,8.5,12.5,5.2,45.8,12.5,2.2,580,180,3.5,120,2.2,pancake.jpg,Flat cake cooked on griddle
46,Waffle,Breakfast,Modern,380,8.8,15.2,6.5,52.3,18.5,2.5,620,220,2.8,95,2.8,waffle.jpg,Batter cooked in waffle iron
47,Croissant,Breakfast,Modern,420,8.5,22.5,12.5,48.5,8.5,2.8,480,250,0,35,2.5,croissant.jpg,French buttery pastry
48,Bagel,Breakfast,Modern,280,10.5,2.5,0.5,55.8,5.2,3.5,520,0,0,25,3.2,bagel.jpg,Ring shaped bread
49,Wrap,Fast Food,Modern,350,18.5,12.8,3.8,42.5,4.2,4.5,720,180,12.5,85,2.8,wrap.jpg,Tortilla with fillings
50,Quesadilla,Fast Food,Modern,420,20.5,22.5,10.5,38.5,3.5,3.2,880,220,5.2,320,2.5,quesadilla.jpg,Grilled tortilla with cheese
51,Caesar Salad,Salad,Modern,180,8.5,12.5,3.5,10.5,3.2,3.8,520,420,15.5,120,2.2,caesar-salad.jpg,Romaine lettuce with caesar dressing
52,Club Sandwich,Snack,Modern,420,25.5,18.5,5.5,38.5,4.5,3.2,980,180,8.5,120,3.2,club-sandwich.jpg,Multi-layered sandwich
53,Garlic Bread,Side Dish,Modern,280,6.5,12.5,3.5,35.8,2.5,2.2,520,85,2.5,45,2.2,garlic-bread.jpg,Toasted bread with garlic butter
54,Chicken Wings,Appetizer,Modern,380,28.5,25.8,7.2,8.5,2.5,0.5,920,120,3.5,25,2.2,chicken-wings.jpg,Fried or grilled chicken wings
55,Nachos,Snack,Modern,480,12.5,28.5,10.5,48.5,3.5,5.8,980,220,12.5,280,2.8,nachos.jpg,Tortilla chips with toppings
56,Fish and Chips,Main Course,Modern,520,22.5,28.5,4.5,48.5,2.5,3.8,820,85,12.5,45,2.5,fish-and-chips.jpg,Battered fish with fries
57,Steak,Main Course,Modern,450,58.5,22.5,8.5,0,0,0,120,0,0,15,4.5,steak.jpg,Grilled beef cut
58,Lasagna,Main Course,Modern,480,25.5,22.5,10.5,42.5,8.5,3.5,920,380,15.5,380,3.8,lasagna.jpg,Layered pasta dish
59,Ramen,Soup,Modern,480,15.5,18.5,6.5,62.5,4.5,2.5,1820,120,5.5,45,3.2,ramen.jpg,Japanese noodle soup
60,Shawarma,Fast Food,Modern,420,28.5,18.5,5.5,38.5,4.5,3.5,980,180,12.5,85,3.8,shawarma.jpg,Middle Eastern wrapped meat
61,Khaja,Dessert,Traditional,420,6.5,22.5,5.2,52.3,18.5,2.2,320,45,1.5,35,1.8,,Traditional layered sweet pastry
62,Lakhamari,Dessert,Traditional,380,5.8,18.5,4.5,48.5,15.5,1.8,280,0,0,25,1.5,,Traditional Newari sweet bread
63,Sikarni,Dessert,Traditional,280,12.5,15.2,8.5,28.5,22.5,0.5,95,180,3.5,380,0.5,,Sweet yogurt dessert with nuts
64,Pukala,Snack,Traditional,380,22.5,18.5,4.2,32.5,2.5,4.8,620,85,3.2,120,3.5,,Fried meat dish
65,Ghiraula,Vegetable,Traditional,25,0.8,0.2,0,5.8,2.5,1.8,5,120,15.5,20,0.5,,Smooth gourd vegetable
66,Iskus,Vegetable,Traditional,20,0.5,0.1,0,4.8,2.2,2.5,2,85,12.5,15,0.3,,Chayote squash
67,Tarul,Vegetable,Traditional,95,1.2,0.2,0,22.5,0.8,1.5,8,0,8.5,15,0.5,,Yam vegetable
68,Phapar,Grain,Traditional,340,13.5,3.2,0.8,62.5,2.5,10.5,10,0,0,18,2.2,,Buckwheat grain
69,Kodo,Grain,Traditional,380,7.5,1.5,0.3,82.5,2.2,8.5,5,0,0,350,3.5,,Finger millet
70,Junelo,Grain,Traditional,350,8.5,1.8,0.4,78.5,1.8,3.5,12,0,0,25,5.2,,Sorghum grain
71,Bhyakur,Snack,Traditional,320,3.5,12.5,2.5,48.5,3.5,4.5,420,0,0,25,1.8,,Deep fried flour spirals
72,Fulaura,Snack,Traditional,280,5.2,10.5,2.2,42.5,2.8,2.5,380,0,0,20,1.5,,Fried lentil balls
73,Nimki,Snack,Traditional,480,8.5,28.5,5.5,52.5,2.5,2.8,620,0,0,35,2.2,,Diamond shaped fried snack
74,Pappadum,Snack,Traditional,52,3.2,0.3,0.1,8.5,0.5,1.2,580,0,0,15,0.8,,Thin crispy wafer
75,Beaten Rice,Breakfast,Traditional,350,6.5,1.2,0.3,82.5,1.5,2.8,15,0,0,20,6.5,,Flattened rice flakes
76,Sattu,Drink,Traditional,380,22.5,5.8,1.2,65.5,3.5,12.5,35,0,5.5,45,5.8,,Roasted gram flour drink
77,Lassi,Drink,Traditional,120,5.2,4.5,2.8,15.5,14.5,0,85,120,2.5,220,0.2,,Yogurt based drink
78,Tongba,Drink,Traditional,85,1.2,0,0,5.5,2.5,0.5,10,0,0,15,0.2,,Fermented millet drink
79,Raksi,Drink,Traditional,220,0,0,0,0,0,0,5,0,0,10,0.1,,Traditional distilled alcohol
80,Chyang,Drink,Traditional,120,2.5,0.2,0,8.5,4.5,1.5,25,0,0,35,0.5,,Rice beer
81,Marpha,Drink,Traditional,95,0.5,0,0,6.5,5.5,0.5,8,0,2.5,12,0.2,,Apple brandy
82,Bael Juice,Drink,Traditional,85,1.5,0.5,0,20.5,15.5,3.5,15,85,60.5,55,0.5,,Wood apple juice
83,Rhododendron Juice,Drink,Traditional,65,0.5,0.2,0,16.5,14.5,0.8,10,45,85.5,25,0.3,,Flower juice
84,Amala Juice,Drink,Traditional,45,0.8,0.3,0,10.5,8.5,4.5,5,25,445.5,35,0.5,,Indian gooseberry juice
85,Bhang Lassi,Drink,Traditional,180,6.5,8.5,4.5,18.5,15.5,0.5,95,150,3.5,280,0.3,,Cannabis infused yogurt drink
86,Paneer,Dairy,Modern,320,25.5,22.5,14.5,3.5,3.5,0,620,280,0,680,0.5,,Indian cottage cheese
87,Kulfi,Dessert,Modern,220,5.5,10.5,6.5,28.5,24.5,0.5,85,180,1.5,180,0.3,,Indian ice cream
88,Gulab Jamun,Dessert,Modern,380,5.2,12.5,5.5,62.5,45.5,1.2,280,85,1.2,95,1.2,,Sweet milk balls in syrup
89,Rasgulla,Dessert,Modern,220,4.5,2.5,1.5,45.5,42.5,0,125,45,0.8,120,0.5,,Sweet cheese balls in syrup
90,Jalebi,Dessert,Modern,420,3.5,15.5,3.5,68.5,48.5,0.8,185,0,1.5,25,1.2,,Sweet pretzel shaped dessert
91,Barfi,Dessert,Modern,380,8.5,15.5,9.5,52.5,45.5,1.5,120,220,0,280,0.8,,Sweet condensed milk squares
92,Ladoo,Dessert,Modern,420,10.5,18.5,6.5,58.5,38.5,3.5,85,120,2.5,85,2.5,,Sweet round balls
93,Peda,Dessert,Modern,380,7.5,14.5,8.5,56.5,48.5,0.5,95,180,0,220,0.5,,Sweet milk fudge
94,Halwa,Dessert,Modern,480,5.5,22.5,8.5,68.5,42.5,2.5,220,250,3.5,45,1.8,,Sweet dense confection
95,Pakoda,Snack,Modern,380,8.5,22.5,3.5,38.5,2.5,3.5,520,85,8.5,45,2.2,,Deep fried fritters
96,Samosa,Snack,Modern,320,5.5,18.5,3.2,35.5,2.8,3.2,480,120,5.5,25,1.8,,Triangular fried pastry
97,Kachori,Snack,Modern,380,8.5,20.5,4.5,42.5,2.5,4.5,620,65,2.5,35,2.5,,Round fried pastry
98,Bhel Puri,Snack,Modern,180,4.5,6.5,1.2,28.5,3.5,2.8,520,45,12.5,25,1.5,,Puffed rice mixture
99,Dosa,Breakfast,Modern,220,5.5,8.5,1.5,32.5,2.5,2.2,420,0,0,20,1.8,,Fermented crepe
100,Idli,Breakfast,Modern,120,3.5,0.5,0.1,25.5,1.5,1.8,380,0,0,15,1.2,,Steamed rice cakes
101,Vada,Snack,Modern,280,8.5,15.5,2.5,28.5,2.2,3.5,480,0,2.5,25,2.2,,Fried lentil donuts
102,Upma,Breakfast,Modern,220,5.5,8.5,1.5,32.5,2.5,2.8,420,85,5.5,20,1.5,,Semolina porridge
103,Poha,Breakfast,Modern,250,4.5,8.5,1.2,38.5,3.5,2.5,380,120,15.5,15,2.8,,Flattened rice dish
104,Paratha,Breakfast,Modern,320,8.5,12.5,3.5,45.5,2.5,3.8,520,120,2.5,45,3.2,,Layered flatbread
105,Chapati,Bread,Modern,120,3.5,0.8,0.2,25.5,1.5,2.8,180,0,0,15,1.8,,Whole wheat flatbread
106,Naan,Bread,Modern,280,8.5,5.5,1.5,48.5,3.5,2.2,420,0,0,85,2.5,,Leavened flatbread
107,Puri,Bread,Modern,220,3.5,12.5,2.2,25.5,1.5,1.8,320,0,0,15,1.5,,Deep fried bread
108,Bhatura,Bread,Modern,380,8.5,18.5,3.5,48.5,2.5,2.2,480,0,0,45,2.8,,Large fried bread
109,Roti,Bread,Modern,110,3.2,0.5,0.1,23.5,1.2,2.5,150,0,0,12,1.5,,Unleavened flatbread
110,Tandoori Chicken,Main Course,Modern,280,42.5,11.5,3.2,2.5,1.5,0.8,680,220,3.5,35,2.5,,Clay oven roasted chicken
111,Butter Chicken,Main Course,Modern,420,28.5,30.5,15.5,8.5,5.5,1.5,820,480,4.5,120,2.8,,Creamy tomato chicken curry
112,Chicken Tikka,Appetizer,Modern,220,35.5,8.5,2.2,2.8,1.8,0.5,580,180,2.5,25,2.2,,Grilled chicken chunks
113,Biryani,Main Course,Modern,480,22.5,18.5,5.5,58.5,3.5,2.8,920,220,5.5,85,3.5,,Layered rice and meat dish
114,Pulao,Main Course,Modern,380,8.5,12.5,3.5,62.5,3.2,2.5,680,120,3.5,45,2.2,,Seasoned rice dish
115,Korma,Main Course,Modern,380,18.5,28.5,12.5,12.5,6.5,2.5,720,320,3.5,95,2.5,,Creamy braised meat curry
116,Vindaloo,Main Course,Modern,320,28.5,18.5,5.5,8.5,3.5,2.2,880,280,8.5,45,3.5,,Spicy Goan curry
117,Jalfrezi,Main Course,Modern,280,22.5,15.5,4.2,12.5,5.5,3.5,720,220,12.5,55,2.8,,Stir fried curry
118,Rogan Josh,Main Course,Modern,380,32.5,25.5,8.5,5.5,3.5,1.8,820,180,2.5,45,3.8,,Kashmiri lamb curry
119,Saag,Side Dish,Modern,180,8.5,12.5,5.5,8.5,2.5,4.5,520,680,85.5,280,5.5,,Leafy greens curry
120,Paneer Tikka,Appetizer,Modern,320,18.5,22.5,12.5,8.5,4.5,1.5,680,220,2.5,420,1.2,,Grilled cottage cheese
121,Aloo Gobi,Side Dish,Modern,180,3.5,8.5,1.2,24.5,3.5,3.8,420,85,48.5,35,1.5,,Potato cauliflower curry
122,Palak Paneer,Main Course,Modern,280,15.5,20.5,11.5,8.5,3.5,3.2,620,580,45.5,380,4.5,,Spinach cottage cheese curry
123,Chana Masala,Main Course,Modern,220,8.5,6.5,0.8,32.5,5.5,8.5,480,120,15.5,65,3.5,,Chickpea curry
124,Dal Makhani,Main Course,Modern,320,12.5,18.5,10.5,28.5,4.5,7.5,620,280,3.5,85,4.2,,Creamy black lentils
125,Rajma,Main Course,Modern,280,10.5,8.5,1.5,38.5,4.8,9.5,520,85,8.5,95,4.8,,Kidney bean curry
126,Kadai Paneer,Main Course,Modern,320,16.5,24.5,13.5,10.5,5.5,2.5,680,280,12.5,450,1.5,,Wok fried cottage cheese
127,Malai Kofta,Main Course,Modern,420,12.5,32.5,15.5,22.5,8.5,3.5,720,320,4.5,180,2.2,,Creamy dumpling curry
128,Shahi Paneer,Main Course,Modern,380,14.5,28.5,16.5,15.5,8.5,2.2,680,380,3.5,420,1.2,,Royal cottage cheese curry
129,Baingan Bharta,Side Dish,Modern,180,2.5,12.5,2.2,15.5,5.5,4.5,420,120,12.5,25,1.2,,Roasted eggplant curry
130,Bhindi Masala,Side Dish,Modern,120,2.2,6.5,1.2,14.5,3.5,3.8,380,85,22.5,82,1.2,,Okra stir fry
131,Mixed Vegetable,Side Dish,Modern,150,3.5,6.5,1.2,20.5,4.5,4.2,420,220,18.5,45,1.5,,Mixed vegetable curry
132,Jeera Rice,Side Dish,Modern,220,4.5,4.5,1.2,42.5,1.5,1.8,320,0,0,15,1.8,,Cumin flavored rice
133,Saffron Rice,Side Dish,Modern,240,4.2,5.5,1.5,45.5,2.2,1.5,280,85,0,20,1.5,,Saffron flavored rice
134,Lemon Rice,Side Dish,Modern,250,5.5,8.5,1.5,38.5,2.5,2.2,420,45,12.5,25,2.2,,Lemon flavored rice
135,Curd Rice,Side Dish,Modern,180,6.5,3.5,1.8,32.5,4.5,1.5,380,85,2.5,120,1.2,,Yogurt rice
136,Raita,Side Dish,Modern,85,3.5,4.5,2.8,8.5,6.5,1.2,320,120,8.5,120,0.5,,Yogurt condiment
137,Chutney,Condiment,Modern,45,1.2,2.5,1.5,5.5,3.5,1.8,280,85,25.5,20,0.8,,Ground sauce or paste
138,Pickle,Condiment,Modern,85,1.5,6.5,1.2,6.5,2.5,2.2,1820,120,18.5,35,1.2,,Preserved vegetables
139,Achaar,Condiment,Traditional,95,1.8,7.5,1.5,7.5,3.2,2.5,2120,180,22.5,42,1.5,,Nepali pickle
140,Papad,Side Dish,Modern,45,2.8,0.2,0,7.5,0.3,0.8,520,0,0,12,0.5,,Thin crispy disc
141,Chana Chaat,Snack,Modern,220,8.5,6.5,1.2,32.5,4.5,7.5,520,120,15.5,65,3.2,,Chickpea salad
142,Aloo Chaat,Snack,Modern,180,2.5,8.5,1.2,24.5,3.5,2.8,480,85,22.5,20,1.2,,Spicy potato snack
143,Dahi Vada,Snack,Modern,220,8.5,8.5,3.5,28.5,8.5,2.5,420,85,3.5,180,1.8,,Lentil dumplings in yogurt
144,Raj Kachori,Snack,Modern,380,8.5,18.5,3.5,48.5,8.5,4.5,620,120,8.5,85,2.5,,Large stuffed puri
145,Papri Chaat,Snack,Modern,280,6.5,12.5,2.5,38.5,6.5,3.2,580,85,12.5,65,1.8,,Crispy wafer chaat
146,Sev Puri,Snack,Modern,220,5.5,10.5,2.2,28.5,4.5,2.8,520,65,8.5,35,1.5,,Puri topped with sev
147,Dabeli,Snack,Modern,320,6.5,12.5,2.5,48.5,12.5,3.5,580,120,15.5,45,2.2,,Spiced potato sandwich
148,Vada Pav,Snack,Modern,380,8.5,18.5,3.5,48.5,4.5,3.8,620,85,8.5,45,2.5,,Potato fritter sandwich
149,Pav Bhaji,Snack,Modern,420,10.5,18.5,8.5,58.5,8.5,5.5,880,320,22.5,85,3.5,,Mashed vegetable with bread
150,Misal Pav,Snack,Modern,380,12.5,12.5,2.5,58.5,5.5,8.5,720,180,15.5,95,4.5,,Sprouted bean curry with bread
151,Chole Bhature,Main Course,Modern,520,15.5,22.5,4.5,68.5,5.5,9.5,820,120,12.5,120,5.5,,Chickpea curry with fried bread
152,Poori Bhaji,Breakfast,Modern,420,8.5,20.5,3.5,52.5,4.5,4.5,680,120,18.5,45,2.8,,Fried bread with potato curry
153,Masala Dosa,Breakfast,Modern,380,8.5,12.5,2.5,58.5,3.5,3.5,620,120,12.5,45,2.5,,Crepe with potato filling
154,Rava Dosa,Breakfast,Modern,320,6.5,10.5,2.2,48.5,2.8,2.2,580,65,8.5,35,1.8,,Semolina crepe
155,Uttapam,Breakfast,Modern,280,7.5,8.5,1.8,42.5,3.5,2.8,520,120,15.5,55,2.2,,Thick pancake with toppings
156,Medu Vada,Breakfast,Modern,260,8.2,14.5,2.2,26.5,1.8,3.2,460,0,1.5,22,2.1,,South Indian lentil donut
157,Pesarattu,Breakfast,Modern,240,10.5,6.5,1.2,35.5,2.2,5.5,420,85,3.5,65,3.5,,Green gram crepe
158,Appam,Breakfast,Modern,180,3.5,4.5,2.5,32.5,3.5,1.5,280,0,0,35,0.8,,Fermented rice pancake
159,Puttu,Breakfast,Modern,220,4.5,6.5,4.5,38.5,2.5,2.2,180,0,0,20,1.5,,Steamed rice cylinder
160,Idiappam,Breakfast,Modern,240,4.2,5.5,3.5,45.5,2.2,2.5,220,0,0,18,1.2,,String hoppers
161,Kadhi,Main Course,Modern,180,6.5,10.5,2.5,15.5,6.5,2.2,520,85,8.5,180,1.2,,Yogurt based curry
162,Sambhar,Side Dish,Modern,120,5.5,3.5,0.5,18.5,4.5,4.5,480,220,18.5,45,2.5,,Lentil vegetable stew
163,Rasam,Soup,Modern,65,2.2,1.5,0.3,10.5,3.5,1.8,520,85,25.5,25,1.2,,Tangy soup
164,Avial,Side Dish,Modern,180,3.5,12.5,8.5,15.5,3.5,3.8,320,180,15.5,45,1.5,,Mixed vegetable in coconut
165,Thoran,Side Dish,Modern,120,2.5,8.5,6.5,10.5,2.5,3.2,280,120,12.5,35,1.2,,Dry vegetable with coconut
166,Poriyal,Side Dish,Modern,140,3.2,8.5,2.2,14.5,3.5,3.5,380,85,18.5,42,1.5,,Stir fried vegetables
167,Kootu,Side Dish,Modern,160,5.5,6.5,1.5,20.5,3.8,4.2,420,120,15.5,55,2.2,,Lentil vegetable stew
168,Pachadi,Side Dish,Modern,95,3.5,5.5,3.5,9.5,5.5,1.5,320,85,12.5,120,0.5,,Vegetable in yogurt
169,Olan,Side Dish,Modern,140,2.5,10.5,8.5,11.5,3.5,2.8,280,220,8.5,35,1.2,,Ash gourd in coconut milk
170,Erissery,Side Dish,Modern,220,6.5,12.5,9.5,24.5,4.5,4.8,320,520,6.5,65,2.5,,Pumpkin and beans curry
171,Fish Curry,Main Course,Modern,280,28.5,16.5,5.5,8.5,3.5,1.5,620,180,12.5,45,2.2,,Spiced fish in gravy
172,Prawn Curry,Main Course,Modern,320,32.5,18.5,6.5,10.5,4.5,1.8,720,220,8.5,85,3.5,,Spiced prawns in gravy
173,Crab Curry,Main Course,Modern,380,35.5,22.5,7.5,12.5,5.5,2.2,820,280,6.5,120,4.5,,Spiced crab in gravy
174,Egg Curry,Main Course,Modern,280,15.5,20.5,5.5,8.5,3.5,1.5,520,420,3.5,55,2.8,,Boiled eggs in gravy
175,Keema,Main Course,Modern,380,32.5,25.5,8.5,5.5,2.5,1.8,720,180,8.5,45,4.5,,Minced meat curry
176,Kofta,Main Course,Modern,420,22.5,32.5,10.5,12.5,4.5,2.5,820,220,5.5,85,3.8,,Meatball curry
177,Seekh Kebab,Appetizer,Modern,320,28.5,22.5,7.5,3.5,1.5,1.2,680,120,3.5,35,3.5,,Grilled minced meat skewer
178,Shammi Kebab,Appetizer,Modern,280,22.5,18.5,5.5,8.5,2.5,2.8,620,85,2.5,45,3.2,,Pan fried meat patty
179,Galouti Kebab,Appetizer,Modern,380,35.5,25.5,8.5,4.5,1.8,1.5,720,180,2.2,55,4.2,,Melt in mouth kebab
180,Reshmi Kebab,Appetizer,Modern,240,38.5,9.5,2.5,2.5,1.5,0.8,580,120,1.8,25,2.8,,Silky chicken kebab
181,Hariyali Kebab,Appetizer,Modern,220,35.5,8.5,2.2,3.5,2.5,1.5,620,320,12.5,45,3.2,,Green herb chicken kebab
182,Tangdi Kebab,Appetizer,Modern,380,42.5,22.5,6.5,4.5,2.5,1.2,720,180,3.5,45,3.8,,Chicken drumstick kebab
183,Fish Tikka,Appetizer,Modern,220,32.5,9.5,2.2,3.5,1.8,0.8,580,120,3.5,35,2.5,,Grilled fish chunks
184,Prawn Tikka,Appetizer,Modern,240,35.5,10.5,2.5,4.5,2.2,1.2,620,180,2.5,85,3.5,,Grilled prawns
185,Mutton Curry,Main Course,Modern,420,38.5,28.5,9.5,5.5,3.5,1.5,820,220,4.5,55,4.8,,Goat meat curry
186,Chicken Curry,Main Course,Modern,320,32.5,18.5,5.5,8.5,4.5,1.8,720,180,5.5,45,2.8,,Spiced chicken in gravy
187,Duck Curry,Main Course,Modern,380,35.5,25.5,7.5,6.5,3.8,1.5,780,280,3.5,55,5.2,,Spiced duck in gravy
188,Pork Curry,Main Course,Modern,420,32.5,30.5,10.5,5.5,2.5,1.2,820,120,2.5,35,3.5,,Spiced pork in gravy
189,Beef Curry,Main Course,Modern,450,42.5,30.5,11.5,4.5,2.2,1.5,880,85,1.5,25,5.5,,Spiced beef in gravy
190,Quail Curry,Main Course,Modern,280,38.5,13.5,3.5,3.5,2.2,0.8,620,220,3.5,65,4.5,,Spiced quail in gravy
191,Rabbit Curry,Main Course,Modern,320,42.5,15.5,4.5,4.5,2.5,1.2,680,180,2.5,45,5.2,,Spiced rabbit in gravy
192,Lamb Chops,Main Course,Modern,520,48.5,35.5,15.5,2.5,1.5,0.5,820,120,0,35,4.8,,Grilled lamb chops
193,Pork Chops,Main Course,Modern,480,38.5,35.5,12.5,2.2,1.2,0.3,780,85,0.5,25,3.2,,Grilled pork chops
194,Chicken Roast,Main Course,Modern,380,45.5,20.5,5.5,3.5,2.5,0.8,720,220,2.5,35,3.5,,Roasted whole chicken
